Tension,F0,MainGauge,MainDensity,CrossGauge,CrossDensity,FaceSize,MainPatN,CrossPatN
61.5,693.0226293103448,1.15,1.357480346371705,1.15,1.357480346371705,100.0,18,16
61.5,692.0325969827586,1.15,1.357480346371705,1.15,1.357480346371705,100.0,18,16
45.0,620.2552532327586,1.31,1.2241974528366752,1.2,1.3881847814126427,98.0,16,19
45.0,619.2652209051724,1.31,1.2241974528366752,1.2,1.3881847814126427,98.0,16,19
40.0,561.3483297413793,1.2,1.3684525842139896,1.25,1.2304586960320611,100.0,16,19
40.0,560.8533135775862,1.2,1.3684525842139896,1.25,1.2304586960320611,100.0,16,19
43.0,544.5177801724137,1.25,1.3684525842139896,1.25,1.3684525842139896,98.0,16,19
43.0,546.002828663793,1.25,1.3684525842139896,1.25,1.3684525842139896,98.0,16,19
52.0,600.9496228448276,1.25,1.3608384254129418,1.25,1.3608384254129418,98.0,16,19
52.0,601.9396551724137,1.25,1.3608384254129418,1.25,1.3608384254129418,98.0,16,19
49.0,583.1290409482758,1.25,1.3608384254129418,1.25,1.3608384254129418,100.0,16,19
49.0,583.624057112069,1.25,1.3608384254129418,1.25,1.3608384254129418,100.0,16,19
42.0,584.1190732758621,1.3,1.160230117687663,1.3,1.160230117687663,100.0,14,18
42.0,586.0991379310344,1.3,1.160230117687663,1.3,1.160230117687663,100.0,14,18
48.0,548.4779094827586,1.3,1.3787150099794958,1.3,1.3787150099794958,100.0,16,19
48.0,548.9729256465517,1.3,1.3787150099794958,1.3,1.3787150099794958,100.0,16,19
48.0,546.9928609913793,1.3,1.3787150099794958,1.3,1.3787150099794958,100.0,16,19
48.0,547.9828933189655,1.3,1.3787150099794958,1.3,1.3787150099794958,100.0,16,19
46.0,625.2054148706897,1.15,1.357480346371705,1.15,1.357480346371705,100.0,16,19
46.0,626.690463362069,1.15,1.357480346371705,1.15,1.357480346371705,100.0,16,19
42.0,609.8599137931034,1.25,1.181566297514231,1.25,1.181566297514231,100.0,16,20
42.0,610.3549299568965,1.25,1.181566297514231,1.25,1.181566297514231,100.0,16,20
47.0,629.1655441810344,1.24,1.2503848286616128,1.24,1.2503848286616128,98.0,18,16
47.0,629.6605603448276,1.24,1.2503848286616128,1.24,1.2503848286616128,98.0,18,16
40.0,584.1190732758621,1.15,1.357480346371705,1.15,1.357480346371705,98.0,16,19
40.0,582.6340247844827,1.15,1.357480346371705,1.15,1.357480346371705,98.0,16,19
45.0,595.5044450431034,1.2,1.3881847814126427,1.2,1.3881847814126427,100.0,16,19
45.0,594.5144127155172,1.2,1.3881847814126427,1.2,1.3881847814126427,100.0,16,19
48.0,545.5078125,1.25,1.3684525842139896,1.25,1.3684525842139896,100.0,16,19
48.0,545.0127963362069,1.25,1.3684525842139896,1.25,1.3684525842139896,100.0,16,19
48.0,579.168911637931,1.25,1.3684525842139896,1.25,1.3684525842139896,98.0,16,19
48.0,580.1589439655172,1.25,1.3684525842139896,1.25,1.3684525842139896,98.0,16,19
